"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_name","GeneID","orgdb_symbol","orgdb_old_MXAN","orgdb_Name","iMat"
"1217","WP_011551686.1",78.6784773723975,1.05740336995949,0.691820501015194,1.52843601542283,0.126404318504026,0.239168632293038,"MXAN_RS07655",41359020,"MXAN_RS07655","MXAN_1575","LysR family transcriptional regulator",0
"1218","WP_011551689.1",146.932699151928,3.22143934163702,0.450927637606487,7.14402727394654,9.06354055086547e-13,3.90355362100087e-11,"MXAN_RS07670",41359023,"MXAN_RS07670","MXAN_1578","MBL fold hydrolase",1
"1219","WP_011551690.1",106.081851360802,0.0834254721967347,0.483619067591717,0.172502446216956,0.863042538385967,0.912851286572171,"MXAN_RS07675",41359024,"MXAN_RS07675","MXAN_1579","DedA family protein",0
"1220","WP_011551691.1",764.459700037138,0.140084548894246,0.273719910520549,0.51178063235458,0.608804546610545,0.729504105351487,"MXAN_RS07680",41359025,"MXAN_RS07680","MXAN_1580","hypothetical protein",0
"1221","WP_011551693.1",97.5147812192755,-0.559300564281315,0.620932005562492,-0.900743655136046,0.367724631811137,0.514202605075192,"MXAN_RS07690",41359027,"MXAN_RS07690","MXAN_1582","hypothetical protein",0
"1222","WP_011551696.1",90.6705353256202,0.471916897812607,0.575097726071618,0.820585574274793,0.411882367405353,0.556198587848381,"MXAN_RS07705",41359030,"MXAN_RS07705","MXAN_1585","hypothetical protein",0
"1223","WP_011551697.1",718.788133710235,0.0108597221704516,0.284928876157233,0.0381137998960094,0.9695969485792,0.981373772364178,"MXAN_RS07710",41359031,"MXAN_RS07710","MXAN_1586","rRNA pseudouridine synthase",0
"1224","WP_011551698.1",138.919243401619,1.2434814356233,0.680209591513269,1.82808571231246,0.0675366889058736,0.150857479173541,"MXAN_RS07715",41359032,"MXAN_RS07715","MXAN_1587","hypothetical protein",1
"1225","WP_011551699.1",83.6952297058057,0.771701032695127,0.579938482838773,1.33066015712164,0.183300858582841,0.312746188407775,"MXAN_RS07720",41359033,"MXAN_RS07720","MXAN_1588","aminotransferase IV",0
"1226","WP_011551700.1",51.5341356107729,0.442295193642019,0.608370751865388,0.727015873603148,0.467216231756496,0.60731718292573,"MXAN_RS07725",41359034,"MXAN_RS07725","MXAN_1589","type 1 glutamine amidotransferase",0
"1227","WP_011551701.1",285.886280398423,0.471988928776445,0.321488918323704,1.46813436443617,0.142067728690081,0.259197436696677,"MXAN_RS07730",41359035,"MXAN_RS07730","MXAN_1590","anthranilate synthase component I family protein",0
"1228","WP_011551702.1",1094.26753996375,-0.576045244355058,0.356590779725347,-1.61542383344499,0.106218942397852,0.21051329653828,"MXAN_RS07735",41359036,"MXAN_RS07735","MXAN_1591","DUF853 domain-containing protein",0
