reaction_id	flux_value	classification	y_f	y_r
rxn08089_c	0.0	low	1.0	0.0
rxn00189_c	1.0	high	1.0	0.0
rxn01508_c	0.0	low	1.0	0.0
rxn02508_c	0.0	moderate		
rxn05442_c	0.0	low	1.0	0.0
rxn00543_c	0.0	low	1.0	0.0
rxn01996_c	0.0	moderate		
rxn10340_c	0.0			
rxn00420_c	0.0	low	1.0	0.0
rxn10253_c	0.0	moderate		
rxn10207_c	0.0	low	1.0	0.0
rxn10221_c	0.0	low	1.0	0.0
rxn02792_c	0.0	moderate		
rxn14334_c	0.0	low	1.0	0.0
rxn07979_c	0.0	moderate		
rxn00993_c	0.0	moderate		
rxn00469_c	1.0	high	1.0	0.0
rxn02804_c	0.0	high	0.0	0.0
rxn05005_c	0.0	high	0.0	0.0
rxn10203_c	0.0	low	1.0	0.0
rxn00048_c	0.0	high	0.0	0.0
rxn05231_c	0.0	moderate		
rxn09200_c	0.0	low	1.0	0.0
rxn00283_c	0.0	high	0.0	0.0
rxn05373_c	0.0	moderate		
rxn00726_c	0.0	low	1.0	0.0
rxn00184_c	-1000.0	moderate		
rxn00379_c	1.0	high	1.0	0.0
rxn01025_c	0.0	high	0.0	0.0
rxn08851_c	0.0	low	1.0	0.0
rxn05330_c	0.0	moderate		
rxn02155_c	2.0	low	0.0	0.0
rxn02866_c	0.0	low	1.0	0.0
rxn00304_c	0.0	low	1.0	0.0
rxn08552_c	0.0	low	1.0	0.0
rxn05170_c	0.0	low	1.0	0.0
rxn02475_c	0.0	moderate		
rxn05339_c	0.0	low	1.0	0.0
rxn05460_c	0.0	moderate		
rxn05484_c	754.21429	moderate		
rxn03108_c	0.0			
rxn10313_c	0.0	high	0.0	0.0
rxn00675_c	0.0	low	1.0	0.0
rxn01018_c	0.0	low	1.0	0.0
rxn00714_c	0.0	moderate		
rxn08813_c	0.0	low	1.0	0.0
rxn05683_c	-1.0	moderate		
rxn05506_c	0.0	high	0.0	0.0
rxn00634_c	0.0	high	0.0	0.0
rxn00947_c	0.0	low	1.0	0.0
rxn03247_c	0.0	low	1.0	0.0
